station_id,base_station_id,depth_name,target_station_index,original_node_index,sample_count,MAE,RMSE,R2
MS3513@40cm,MS3513,40cm,63,198,33,0.16443252111926224,0.20412468058120312,-0.01917059789124198
CD01@5cm,CD01,5cm,4,12,18497,0.1384592027184241,0.15877267323386796,-0.457843103312114
CD03@5cm,CD03,5cm,5,14,325,0.11125551109130566,0.11195834305464425,-60.420196405228005
C4@10cm,C4,10cm,21,67,18606,0.10889784839934499,0.11310838750993957,-7.990572247452162
MS3627@20cm,MS3627,20cm,52,155,18625,0.1017800050457852,0.10897480482319931,-3.084841570536665
CD01@40cm,CD01,40cm,58,180,18497,0.09675439284957216,0.10325779065529214,-1.8620777240463755
P8@5cm,P8,5cm,17,54,5639,0.09216035437681168,0.09414050721779471,-5.169729634481009
MS3488@5cm,MS3488,5cm,8,26,16699,0.09112333764900839,0.09967079159910595,-0.067506343613849
MS3513@20cm,MS3513,20cm,45,142,17978,0.08933661819384578,0.09241931746693646,-6.291817605079062
CD01@20cm,CD01,20cm,40,124,12621,0.08164800292182182,0.09035120463490343,-0.5796532646894317
MS3603@40cm,MS3603,40cm,68,208,18624,0.08090696935909976,0.08237517304808423,-0.30462931442905794
C4@5cm,C4,5cm,3,11,18606,0.08021524808856412,0.0859629680080567,-0.09089493055364861
C4@40cm,C4,40cm,57,179,18606,0.07755401882944755,0.07971197147482582,-4.181924196716413
MS3545@5cm,MS3545,5cm,12,35,3845,0.0747977152951207,0.0773230563913724,-10.129023519003498
C3@5cm,C3,5cm,2,10,18606,0.07253513204605172,0.09005838006260708,-1.8444734413070818
MS3627@40cm,MS3627,40cm,70,211,18625,0.06890681091050974,0.07590268776013169,-1.7682012618129694
C3@10cm,C3,10cm,20,66,18606,0.06017207617355997,0.07294041789869006,-1.7665960119918225
MS3518@40cm,MS3518,40cm,64,199,18601,0.05655209451607816,0.05962753917647801,-0.5355217790039979
MS3513@10cm,MS3513,10cm,27,86,18366,0.05625502368917811,0.06138627653663403,0.33007247822393393
CD07@20cm,CD07,20cm,42,130,18503,0.05490570027279105,0.0618781117547771,0.07257589038589918
MS3545@10cm,MS3545,10cm,30,91,5700,0.051582026705145834,0.05474064167712504,-1.3203514366757552
MS3533@10cm,MS3533,10cm,29,90,18606,0.04951598183342517,0.05219835096360526,0.48537481985052355
MS3488@40cm,MS3488,40cm,62,194,18545,0.04938952158237603,0.052441145896945845,-0.6545085911886195
MS3620@10cm,MS3620,10cm,33,98,16954,0.04751446326519783,0.05086951085222759,-0.21462858384057126
C4@20cm,C4,20cm,39,123,18606,0.04669670942631394,0.05074811280033363,-1.2343264968988752
CD07@5cm,CD07,5cm,6,18,18501,0.044069091712556706,0.050472188191710156,0.8045890604333829
MS3627@10cm,MS3627,10cm,34,99,18625,0.04330362108049777,0.04993662408435791,0.5708508708929401
MS3545@40cm,MS3545,40cm,66,203,5700,0.03828917637598096,0.0516681851639172,-0.6667845145812064
MS3518@5cm,MS3518,5cm,10,31,18601,0.03747663254520213,0.04368589875501277,0.8707221092565415
C2@20cm,C2,20cm,37,121,12996,0.03571852992861206,0.04001068948563841,-0.16473832808274835
MS3533@5cm,MS3533,5cm,11,34,18606,0.035130988591850466,0.045000855360555966,0.8794255564836727
MS3620@5cm,MS3620,5cm,15,42,18623,0.03477011713455515,0.03876846453967713,0.7121276684380461
MS3627@5cm,MS3627,5cm,16,43,18625,0.0340094920064779,0.04164591191741184,0.6952983353395907
C2@5cm,C2,5cm,1,9,12996,0.033150586675968347,0.03610878295061774,0.8863623489511047
MS3513@5cm,MS3513,5cm,9,30,18366,0.03263383830027241,0.04470824890330356,0.7922603538483792
MS3603@10cm,MS3603,10cm,32,96,18623,0.032141060651657706,0.034909087820232484,0.7171503719550549
MS3620@40cm,MS3620,40cm,69,210,18623,0.032007986415724284,0.03638359781395601,0.35636182945269046
MS3603@20cm,MS3603,20cm,50,152,18624,0.030437680816236257,0.03908012093411315,0.4815690313689108
MS3488@10cm,MS3488,10cm,26,82,18545,0.029642342138271122,0.03223619043068974,0.7651008971613462
MS3620@20cm,MS3620,20cm,51,154,18623,0.029275123085757623,0.03789167823020252,0.12431184182255473
MS3488@20cm,MS3488,20cm,44,138,18545,0.028110749050512824,0.032542136805013805,0.524352814044108
MS3545@20cm,MS3545,20cm,48,147,5700,0.02758646633541375,0.04079263117959007,-0.737472375682442
MS3603@5cm,MS3603,5cm,14,40,18624,0.02756399515243343,0.033766284905990214,0.8299203189752831
MS3518@10cm,MS3518,10cm,28,87,18601,0.026790522676207393,0.031042217323581835,0.8740750217392247
P8@10cm,P8,10cm,35,110,5639,0.02589060968383658,0.037971291191893304,0.4918081311120843
MS3518@20cm,MS3518,20cm,46,143,18601,0.020633732321733274,0.025721747340642823,0.8454719788591533
MS3533@20cm,MS3533,20cm,47,146,18606,0.020494685530435087,0.025262957004713132,0.749999005122286
CD03@20cm,CD03,20cm,41,126,132,0.020255986149563934,0.02027096173069175,-141.5018721764947
MS3533@40cm,MS3533,40cm,65,202,18606,0.015486364363486774,0.01863485006378599,0.7963383335819072
P8@20cm,P8,20cm,53,166,5639,0.014086563954710179,0.018163413467325504,-1.7127771506111724
CD03@10cm,CD03,10cm,23,70,324,0.00800465902796498,0.015421535137024838,0.6436817327670862
