station_id,lon,lat
PL01,89.27578,28.07769
PL02,89.28309,28.05828
PL03,89.26569,28.03929
PL04,89.28586,28.01979
PL05,89.24319,28.0136
PL06,89.25767,27.97789
PL07,89.28728,27.97781
PL08,89.23082,27.97005
PL09,89.21992,27.94389
PL10,89.19075,27.93962
PL11,89.20691,27.91091
PL12,89.15099,27.91605
PL13,89.19234,27.87475
PL14,89.1692,27.88846
PL15,89.15543,27.83313
PL16,89.14993,27.80792
PL17,89.14545,27.76778
PL18,89.15388,27.73693
PL19,89.13642,27.7371
PL20,89.14595,27.70264
PL21,89.08032,28.16488
PL22,89.09585,28.10979
PL23,89.07267,28.03381
PL24,89.09279,27.96402
