station_id,primary_col,supplementary_cols,missing_before,filled_from_supplement,missing_after
BC+,BC+,BC+-01,160851,25426,135425
BC02,BC02,BC02-01,164637,147259,17378
BC03,BC03,,1127,0,1127
BC04,BC04,,1523,0,1523
BC05,BC05,,16165,0,16165
BC06,BC06,BC06-01,178071,153349,24722
BC07,BC07,BC07-01,139114,115523,23591
BC08,BC08,,1121,0,1121
C1,C1,,17239,0,17239
C2,C2,,39574,0,39574
C3,C3,C3-01,171090,119357,51733
C4,C4,C4-01,182076,137891,44185
CD01,CD01,CD01-01,150390,141007,9383
CD02,CD02,,46451,0,46451
CD03,CD03,,39250,0,39250
CD04,CD04,CD04-01;CD04-02,178490,44688,133802
CD05,CD05,CD05-01,177584,102062,75522
CD06,CD06,,117002,0,117002
CD07,CD07-01,CD07-02,176832,153864,22968
F1,F1,,114883,0,114883
F2,F2,,51346,0,51346
F3,F3,,37538,0,37538
F4,F4,,33980,0,33980
F5,F5,,34477,0,34477
MS3475,MS3475,,51823,0,51823
MS3482,MS3482,,15348,0,15348
MS3488,MS3488,,24372,0,24372
MS3494,MS3494,,1025,0,1025
MS3501,MS3501,,27019,0,27019
MS3506,MS3506,MS3506-01,191790,106209,85581
MS3513,MS3513,,3510,0,3510
MS3518,MS3518,,980,0,980
MS3523,MS3523,,994,0,994
MS3527,MS3527,,5085,0,5085
MS3533,MS3533,,975,0,975
MS3545,MS3545,,83556,0,83556
MS3552,MS3552,,75472,0,75472
MS3559,MS3559,,70967,0,70967
MS3576,MS3576,MS3576-01,166731,148203,18528
MS3593,MS3593,,105360,0,105360
MS3603,MS3603,,958,0,958
MS3614,MS3614,,7921,0,7921
MS3620,MS3620,,16713,0,16713
MS3627,MS3627,,957,0,957
MS3633,MS3633,,42600,0,42600
MSBJ,MSBJ,,13416,0,13416
MSNQRW,MSNQRW,,17129,0,17129
P1,P1,,28835,0,28835
P10,P10,,28151,0,28151
P11,P11,P11-01,155698,124979,30719
P2,P2,,35387,0,35387
P3,P3,,137397,0,137397
P5,P5,,97685,0,97685
P7,P7,,43324,0,43324
P8,P8,,60907,0,60907
P9,P9,,76303,0,76303
