station_id,depth_cm,depth_num,total_rows,missing_count,non_missing_count,missing_rate,missing_rate_percent,source_csv
BC+,5cm,5,195793,135425,60368,0.6916743703809636,69.16743703809635,SM_NQ-30-minutes_05cm.csv
BC02,5cm,5,195793,17378,178415,0.08875700357009698,8.875700357009698,SM_NQ-30-minutes_05cm.csv
BC03,5cm,5,195793,1127,194666,0.005756079124381362,0.5756079124381361,SM_NQ-30-minutes_05cm.csv
BC04,5cm,5,195793,1523,194270,0.0077786233419989475,0.7778623341998947,SM_NQ-30-minutes_05cm.csv
BC05,5cm,5,195793,16165,179628,0.08256168504491988,8.256168504491988,SM_NQ-30-minutes_05cm.csv
BC06,5cm,5,195793,24722,171071,0.12626600542409586,12.626600542409586,SM_NQ-30-minutes_05cm.csv
BC07,5cm,5,195793,23591,172202,0.1204894965601426,12.04894965601426,SM_NQ-30-minutes_05cm.csv
BC08,5cm,5,195793,1121,194672,0.00572543451502352,0.572543451502352,SM_NQ-30-minutes_05cm.csv
C1,5cm,5,195793,17239,178554,0.08804707011997365,8.804707011997365,SM_NQ-30-minutes_05cm.csv
C2,5cm,5,195793,39574,156219,0.20212162845454126,20.212162845454127,SM_NQ-30-minutes_05cm.csv
C3,5cm,5,195793,51733,144060,0.2642229293182085,26.422292931820852,SM_NQ-30-minutes_05cm.csv
C4,5cm,5,195793,44185,151608,0.225672010746043,22.567201074604302,SM_NQ-30-minutes_05cm.csv
CD01,5cm,5,195793,9383,186410,0.04792306160077225,4.792306160077224,SM_NQ-30-minutes_05cm.csv
CD02,5cm,5,195793,46451,149342,0.23724545821352142,23.72454582135214,SM_NQ-30-minutes_05cm.csv
CD03,5cm,5,195793,39250,156543,0.2004668195492178,20.04668195492178,SM_NQ-30-minutes_05cm.csv
CD04,5cm,5,195793,133802,61991,0.6833850035496672,68.33850035496673,SM_NQ-30-minutes_05cm.csv
CD05,5cm,5,195793,75522,120271,0.3857236979871599,38.57236979871599,SM_NQ-30-minutes_05cm.csv
CD06,5cm,5,195793,117002,78791,0.597580097347709,59.7580097347709,SM_NQ-30-minutes_05cm.csv
CD07,5cm,5,195793,22968,172825,0.11730756462181999,11.730756462181999,SM_NQ-30-minutes_05cm.csv
F1,5cm,5,195793,114883,80910,0.5867574428094978,58.67574428094978,SM_NQ-30-minutes_05cm.csv
F2,5cm,5,195793,51346,144447,0.2622463520146277,26.22463520146277,SM_NQ-30-minutes_05cm.csv
F3,5cm,5,195793,37538,158255,0.19172289101244683,19.172289101244683,SM_NQ-30-minutes_05cm.csv
F4,5cm,5,195793,33980,161813,0.17355063766324638,17.355063766324637,SM_NQ-30-minutes_05cm.csv
F5,5cm,5,195793,34477,161316,0.1760890328050543,17.60890328050543,SM_NQ-30-minutes_05cm.csv
MS3475,5cm,5,195793,51823,143970,0.26468259845857617,26.468259845857617,SM_NQ-30-minutes_05cm.csv
MS3482,5cm,5,195793,15348,180445,0.07838891073736037,7.838891073736037,SM_NQ-30-minutes_05cm.csv
MS3488,5cm,5,195793,24372,171421,0.12447840321155507,12.447840321155507,SM_NQ-30-minutes_05cm.csv
MS3494,5cm,5,195793,1025,194768,0.005235120765298045,0.5235120765298045,SM_NQ-30-minutes_05cm.csv
MS3501,5cm,5,195793,27019,168774,0.13799778337325644,13.799778337325645,SM_NQ-30-minutes_05cm.csv
MS3506,5cm,5,195793,85581,110212,0.43709938557558237,43.70993855755824,SM_NQ-30-minutes_05cm.csv
MS3513,5cm,5,195793,3510,192283,0.017927096474337694,1.7927096474337694,SM_NQ-30-minutes_05cm.csv
MS3518,5cm,5,195793,980,194813,0.005005286195114228,0.5005286195114228,SM_NQ-30-minutes_05cm.csv
MS3523,5cm,5,195793,994,194799,0.005076790283615859,0.507679028361586,SM_NQ-30-minutes_05cm.csv
MS3527,5cm,5,195793,5085,190708,0.025971306430771272,2.597130643077127,SM_NQ-30-minutes_05cm.csv
MS3533,5cm,5,195793,975,194818,0.004979749020649359,0.49797490206493594,SM_NQ-30-minutes_05cm.csv
MS3545,5cm,5,195793,83556,112237,0.4267568299173106,42.675682991731065,SM_NQ-30-minutes_05cm.csv
MS3552,5cm,5,195793,75472,120321,0.3854683262425112,38.546832624251124,SM_NQ-30-minutes_05cm.csv
MS3559,5cm,5,195793,70967,124826,0.3624593320496647,36.24593320496647,SM_NQ-30-minutes_05cm.csv
MS3576,5cm,5,195793,18528,177265,0.09463055369701674,9.463055369701674,SM_NQ-30-minutes_05cm.csv
MS3593,5cm,5,195793,105360,90433,0.5381193403237092,53.81193403237092,SM_NQ-30-minutes_05cm.csv
MS3603,5cm,5,195793,958,194835,0.004892922627468806,0.4892922627468806,SM_NQ-30-minutes_05cm.csv
MS3614,5cm,5,195793,7921,187872,0.04045599178724469,4.045599178724469,SM_NQ-30-minutes_05cm.csv
MS3620,5cm,5,195793,16713,179080,0.08536055936626948,8.536055936626948,SM_NQ-30-minutes_05cm.csv
MS3627,5cm,5,195793,957,194836,0.004887815192575832,0.48878151925758323,SM_NQ-30-minutes_05cm.csv
MS3633,5cm,5,195793,42600,153193,0.21757672644067969,21.75767264406797,SM_NQ-30-minutes_05cm.csv
MSBJ,5cm,5,195793,13416,182377,0.06852134652413519,6.852134652413519,SM_NQ-30-minutes_05cm.csv
MSNQRW,5cm,5,195793,17129,178664,0.08748525228174654,8.748525228174655,SM_NQ-30-minutes_05cm.csv
P1,5cm,5,195793,28835,166958,0.1472728851388967,14.727288513889668,SM_NQ-30-minutes_05cm.csv
P10,5cm,5,195793,28151,167642,0.14377939967210268,14.377939967210269,SM_NQ-30-minutes_05cm.csv
P11,5cm,5,195793,30719,165074,0.15689529247725914,15.689529247725915,SM_NQ-30-minutes_05cm.csv
