window,t_len,overall_mae,overall_rmse,overall_r2,stability_std,extreme_mae,extreme_rmse,file_time,checkpoint_dir,analysis_dir
1,2,0.036302,0.042998,0.849164,0.04164788136363512,0.035478495483015425,0.04527107162163683,20260509T171816,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T171816,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T171816/analysis
2,4,0.02866,0.037852,0.883099,0.03779180122517193,0.03472947612592653,0.04505267051949332,20260509T173829,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T173829,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T173829/analysis
3,6,0.032662,0.040304,0.867456,0.03908250790986697,0.03573286665102972,0.047118144494785304,20260509T175854,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T175854,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T175854/analysis
4,8,0.027739,0.037185,0.887174,0.036952946533122276,0.0350441733981642,0.04614417684893035,20260509T181921,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T181921,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T181921/analysis
5,10,0.031375,0.040039,0.869179,0.03937146266143304,0.034437220139988796,0.045743747149017036,20260509T183932,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T183932,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T183932/analysis
6,12,0.031379,0.039803,0.870711,0.03927135468869993,0.034265156584877936,0.045544416013650356,20260509T190045,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T190045,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T190045/analysis
8,16,0.03182,0.040297,0.867468,0.03979176190199869,0.03470056131973346,0.0454365567702762,20260509T192223,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T192223,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T192223/analysis
10,20,0.03053,0.039479,0.872782,0.03862201881499723,0.03503970493123418,0.04597280937250833,20260509T194349,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T194349,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T194349/analysis
12,24,0.033846,0.041309,0.860702,0.03874133873781584,0.03480509733252254,0.04574295449799087,20260509T200656,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T200656,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T200656/analysis
14,28,0.030881,0.039605,0.871946,0.03873473667552684,0.03501067861186914,0.046437537163183926,20260509T203126,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T203126,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T203126/analysis
