window,t_len,overall_mae_mean,overall_rmse_mean,overall_r2_mean,stability_std_mean,extreme_mae_mean,extreme_rmse_mean,overall_mae_std,overall_rmse_std,overall_r2_std,stability_std_std,extreme_mae_std,extreme_rmse_std
1,2,0.045942000000000004,0.06651866666666667,0.772064,0.06513022823973856,0.057801832652662054,0.07509216889219351,0.001557047847691264,0.0022172632279957765,0.015313371433706742,0.001719760595273215,0.0037026956829723737,0.004145645947659311
2,4,0.045482999999999996,0.06834433333333334,0.7594346666666666,0.06536688781833311,0.05774405241008159,0.07552471329030858,0.0021971995812852326,0.001986810733031433,0.014096067189901675,0.0026857727907772188,0.0005901137531935282,0.0007051803118950961
3,6,0.047391333333333334,0.069388,0.752133,0.06797131226565498,0.05883932285386987,0.07625895778718518,0.003024161628543613,0.0013575485258361887,0.009754676656182234,0.0017666467756925072,0.0024106917699926625,0.0015817493228542396
4,8,0.04450933333333334,0.06696366666666666,0.7691923333333334,0.06554475057994032,0.056310634577306985,0.07393742092450023,0.0001852157900636156,0.0008279216280676673,0.005721915899028584,0.0010497072975905858,0.0006461359569299047,0.0005552902808880872
5,10,0.04707266666666667,0.06910233333333334,0.7541076666666667,0.06727370220782593,0.058385929597402804,0.07594932134449882,0.0010080318557576557,0.0016039609998029513,0.011368859583186956,0.00040625040997706004,0.004229372654016859,0.0041013630109890745
6,12,0.04700733333333334,0.06738,0.766002,0.06579879137051155,0.05657481937482526,0.0735442018985501,0.0032896307121350597,0.002509241053917831,0.01733024064076045,0.00379742460051288,0.0022761547907409656,0.0025516357160041536
8,16,0.052334,0.07372000000000001,0.7200333333333333,0.07184590603144077,0.06401957204359916,0.08176589574144616,0.002329995278965174,0.002077145316694685,0.01592158125173362,0.0028902934316657573,0.0012635522318522154,0.0014499412288897665
10,20,0.04936566666666667,0.07087500000000001,0.7406553333333333,0.06911543593417342,0.06215911524439869,0.07958371858394674,0.0025279294997201866,0.003814997335079889,0.027947742870499497,0.003487775749527829,0.0023361022264007775,0.0031358998750005552
12,24,0.04673166666666667,0.067828,0.7626566666666666,0.06669645804281576,0.057766253954593005,0.0749848001633864,0.003677679552229758,0.003061423307330534,0.02139883782410205,0.0035360777119790945,0.0013666567177490528,0.00141272297287617
14,28,0.04786133333333333,0.069892,0.7482890000000001,0.06725859515248263,0.062173651523631995,0.07994586273200839,0.0022516136929371807,0.0019267575526429545,0.013764742859930276,0.0030750563805349647,0.0013156372887555866,0.0010520041772721256
