window,t_len,seed,overall_mae,overall_rmse,overall_r2,stability_std,extreme_mae,extreme_rmse,file_time,checkpoint_dir,analysis_dir
1,2,5,0.03965,0.051977,0.841662,,,,20260520T224726,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T224726,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T224726/analysis
1,2,6,0.04514,0.051826,0.842587,,,,20260520T230217,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T230217,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T230217/analysis
1,2,7,0.038584,0.049493,0.856438,,,,20260520T231645,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T231645,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T231645/analysis
1,2,8,0.048794,0.05978,0.79056,,,,20260520T233104,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T233104,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T233104/analysis
1,2,9,0.040391,0.051406,0.845127,,,,20260520T234520,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T234520,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260520T234520/analysis
2,4,5,0.04427,0.05552,0.819333,,,,20260521T000008,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T000008,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T000008/analysis
2,4,6,0.046261,0.052083,0.84101,,,,20260521T001502,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T001502,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T001502/analysis
2,4,7,0.046203,0.056882,0.81036,,,,20260521T003000,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T003000,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T003000/analysis
2,4,8,0.048069,0.059583,0.791925,,,,20260521T004530,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T004530,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T004530/analysis
2,4,9,0.043839,0.058001,0.80283,,,,20260521T010024,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T010024,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T010024/analysis
3,6,5,0.039065,0.050557,0.850186,,,,20260521T011508,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T011508,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T011508/analysis
3,6,6,0.047406,0.054819,0.823858,,,,20260521T013026,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T013026,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T013026/analysis
3,6,7,0.043773,0.051889,0.842188,,,,20260521T014518,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T014518,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T014518/analysis
3,6,8,0.047997,0.058917,0.79654,,,,20260521T020020,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T020020,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T020020/analysis
3,6,9,0.037438,0.047697,0.866654,,,,20260521T021539,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T021539,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T021539/analysis
4,8,5,0.052013,0.064441,0.756589,,,,20260521T023043,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T023043,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T023043/analysis
4,8,6,0.051594,0.061007,0.781839,,,,20260521T024547,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T024547,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T024547/analysis
4,8,7,0.051247,0.059739,0.790817,,,,20260521T030050,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T030050,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T030050/analysis
4,8,8,0.050038,0.058382,0.80021,,,,20260521T031536,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T031536,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T031536/analysis
4,8,9,0.036729,0.051584,0.844028,,,,20260521T033053,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T033053,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T033053/analysis
5,10,5,0.051189,0.062759,0.769122,,,,20260521T034553,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T034553,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T034553/analysis
5,10,6,0.045625,0.052878,0.8361,,,,20260521T040057,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T040057,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T040057/analysis
5,10,7,0.046153,0.05561,0.818722,,,,20260521T041610,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T041610,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T041610/analysis
5,10,8,0.050518,0.063608,0.762828,,,,20260521T043157,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T043157,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T043157/analysis
5,10,9,0.038355,0.052376,0.839194,,,,20260521T044720,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T044720,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T044720/analysis
6,12,5,0.042867,0.056052,0.81582,,,,20260521T050233,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T050233,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T050233/analysis
6,12,6,0.047396,0.055512,0.819351,,,,20260521T051749,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T051749,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T051749/analysis
6,12,7,0.044443,0.057091,0.808929,,,,20260521T053309,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T053309,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T053309/analysis
6,12,8,0.050169,0.061021,0.781722,,,,20260521T054822,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T054822,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T054822/analysis
6,12,9,0.037597,0.048795,0.860425,,,,20260521T060335,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T060335,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T060335/analysis
8,16,5,0.0438,0.054532,0.825661,,,,20260521T061848,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T061848,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T061848/analysis
8,16,6,0.045832,0.059477,0.792604,,,,20260521T063419,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T063419,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T063419/analysis
8,16,7,0.038144,0.047565,0.867362,,,,20260521T064940,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T064940,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T064940/analysis
8,16,8,0.05038,0.059303,0.793815,,,,20260521T070542,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T070542,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T070542/analysis
8,16,9,0.043267,0.057475,0.806334,,,,20260521T072103,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T072103,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T072103/analysis
12,24,5,0.047113,0.059692,0.791067,,,,20260521T073631,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T073631,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow_PMTS/SM/hierarchical_SM_20260521T073631/analysis
