top_k,seed,window_hours,t_len,num_train_target,selected_count,holdout_count,selected_stations,holdout_stations,file_time,split_dir,checkpoint_dir,analysis_dir,overall_mae,overall_rmse,overall_r2
2,20260528,3,6,1,2,33,"BC02,F5","BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",20260528T162355,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k02/seed20260528,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T162355,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T162355/analysis,0.100534,0.137064,-0.302695
2,20260529,3,6,1,2,33,"BC02,F5","BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",20260528T163827,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k02/seed20260529,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T163827,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T163827/analysis,0.091602,0.120814,-0.012113
2,20260530,3,6,1,2,33,"BC02,F5","BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",20260528T165407,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k02/seed20260530,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T165407,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T165407/analysis,0.102331,0.135773,-0.278282
4,20260528,3,6,3,4,31,"BC02,F5,MS3494,BC05","BC03,BC04,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",20260528T170844,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k04/seed20260528,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T170844,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T170844/analysis,0.072837,0.097912,0.331709
4,20260529,3,6,3,4,31,"BC02,F5,MS3494,BC05","BC03,BC04,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",20260528T172322,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k04/seed20260529,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T172322,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T172322/analysis,0.067938,0.090615,0.427607
4,20260530,3,6,3,4,31,"BC02,F5,MS3494,BC05","BC03,BC04,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",20260528T173957,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k04/seed20260530,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T173957,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T173957/analysis,0.066656,0.087973,0.460498
8,20260528,3,6,3,8,27,"BC02,F5,MS3494,BC05,C1,P10,BC03,F4","BC04,BC06,BC07,BC08,C2,CD01,CD03,CD07,F3,MS3482,MS3488,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P11,P2",20260528T175554,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k08/seed20260528,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T175554,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T175554/analysis,0.058456,0.074599,0.608152
8,20260529,3,6,3,8,27,"BC02,F5,MS3494,BC05,C1,P10,BC03,F4","BC04,BC06,BC07,BC08,C2,CD01,CD03,CD07,F3,MS3482,MS3488,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P11,P2",20260528T181137,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k08/seed20260529,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T181137,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T181137/analysis,0.06791,0.08285,0.51668
8,20260530,3,6,3,8,27,"BC02,F5,MS3494,BC05,C1,P10,BC03,F4","BC04,BC06,BC07,BC08,C2,CD01,CD03,CD07,F3,MS3482,MS3488,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P11,P2",20260528T182718,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k08/seed20260530,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T182718,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T182718/analysis,0.057314,0.073167,0.623054
10,20260528,3,6,3,10,25,"BC02,F5,MS3494,BC05,C1,P10,BC03,F4,MS3518,MS3603","BC04,BC06,BC07,BC08,C2,CD01,CD03,CD07,F3,MS3482,MS3488,MS3501,MS3513,MS3523,MS3527,MS3533,MS3576,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P11,P2",20260528T184327,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k10/seed20260528,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T184327,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T184327/analysis,0.060744,0.075504,0.605732
10,20260529,3,6,3,10,25,"BC02,F5,MS3494,BC05,C1,P10,BC03,F4,MS3518,MS3603","BC04,BC06,BC07,BC08,C2,CD01,CD03,CD07,F3,MS3482,MS3488,MS3501,MS3513,MS3523,MS3527,MS3533,MS3576,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P11,P2",20260528T185943,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260528T162352/split_k10/seed20260529,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T185943,/root/autodl-tmp/over/STGNP/checkpoints/SM_TOPk/SM/hierarchical_SM_20260528T185943/analysis,0.055095,0.070758,0.653738
