ratio_label,observed_count,holdout_count,strategy,overall_mae_mean,overall_rmse_mean,overall_r2_mean,overall_mae_std,overall_rmse_std,overall_r2_std
4:3,20,15,mts,0.038766,0.052338,0.779823,0.0,0.0,0.0
4:3,20,15,orig,0.040123,0.053146,0.77297,0.0,0.0,0.0
4:3,20,15,pmts,0.051863,0.067214,0.6821405,0.007879999999999998,0.010035999999999998,0.055079499999999976
4:3,20,15,tts,0.043994,0.056924,0.739551,0.0,0.0,0.0
5:2,25,10,mts,0.0559094,0.0747224,0.6583106,0.015207503261219444,0.022341889066057056,0.14235144108381903
5:2,25,10,orig,0.055947199999999996,0.0749438,0.6559351999999999,0.01642791270247075,0.023005033478784596,0.14409855895240592
5:2,25,10,pmts,0.056810000000000006,0.0711412,0.6930856000000001,0.014067899786393133,0.014791559152435555,0.07245556213459392
5:2,25,10,tts,0.0618104,0.0796538,0.611085,0.01749498261330945,0.024637211095414193,0.1724352077007477
6:1,30,5,mts,0.0457982,0.058300399999999995,0.7084986,0.017830075068826827,0.020121130202848943,0.16976109616823284
6:1,30,5,orig,0.046389400000000004,0.0597596,0.6960286,0.017700537546639653,0.02044482079745381,0.17456752143809567
6:1,30,5,pmts,0.0456042,0.057829,0.7214858,0.016393383389648394,0.017871913764339848,0.14585938750783234
6:1,30,5,tts,0.0571284,0.0715426,0.5723537999999999,0.013651383880032088,0.016579175378769597,0.17366952872671704
