ratio_label,observed_count,holdout_count,strategy,seed,holdout_seed,holdout_stations,holdout_stations_str,window_hours,t_len,num_train_target,pmts_update_freq,file_time,checkpoint_dir,analysis_dir,overall_mae,overall_rmse,overall_r2
4:3,20,15,pmts,20260518,20260518,"['BC02', 'BC03', 'BC05', 'C1', 'C2', 'CD01', 'CD07', 'F4', 'MS3488', 'MS3494', 'MS3518', 'MS3523', 'MS3527', 'MS3576', 'P11']","BC02,BC03,BC05,C1,C2,CD01,CD07,F4,MS3488,MS3494,MS3518,MS3523,MS3527,MS3576,P11",4,8,4,1,20260518T161136,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T161136,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T161136/analysis,0.059743,0.07725,0.627061
4:3,20,15,orig,20260519,20260519,"['BC06', 'C1', 'C2', 'CD03', 'F3', 'MS3494', 'MS3513', 'MS3523', 'MS3527', 'MS3614', 'MS3627', 'MSBJ', 'P1', 'P11', 'P2']","BC06,C1,C2,CD03,F3,MS3494,MS3513,MS3523,MS3527,MS3614,MS3627,MSBJ,P1,P11,P2",4,8,3,1,20260518T162817,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T162817,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T162817/analysis,0.040123,0.053146,0.77297
4:3,20,15,tts,20260519,20260519,"['BC06', 'C1', 'C2', 'CD03', 'F3', 'MS3494', 'MS3513', 'MS3523', 'MS3527', 'MS3614', 'MS3627', 'MSBJ', 'P1', 'P11', 'P2']","BC06,C1,C2,CD03,F3,MS3494,MS3513,MS3523,MS3527,MS3614,MS3627,MSBJ,P1,P11,P2",4,8,4,1,20260518T164848,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T164848,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T164848/analysis,0.043994,0.056924,0.739551
4:3,20,15,mts,20260519,20260519,"['BC06', 'C1', 'C2', 'CD03', 'F3', 'MS3494', 'MS3513', 'MS3523', 'MS3527', 'MS3614', 'MS3627', 'MSBJ', 'P1', 'P11', 'P2']","BC06,C1,C2,CD03,F3,MS3494,MS3513,MS3523,MS3527,MS3614,MS3627,MSBJ,P1,P11,P2",4,8,4,1,20260518T170417,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T170417,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T170417/analysis,0.038766,0.052338,0.779823
4:3,20,15,pmts,20260519,20260519,"['BC06', 'C1', 'C2', 'CD03', 'F3', 'MS3494', 'MS3513', 'MS3523', 'MS3527', 'MS3614', 'MS3627', 'MSBJ', 'P1', 'P11', 'P2']","BC06,C1,C2,CD03,F3,MS3494,MS3513,MS3523,MS3527,MS3614,MS3627,MSBJ,P1,P11,P2",4,8,4,1,20260518T172437,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T172437,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T172437/analysis,0.043983,0.057178,0.73722
5:2,25,10,orig,20260515,20261515,"['BC04', 'BC05', 'BC07', 'CD07', 'F5', 'MS3494', 'MS3513', 'MS3523', 'MS3620', 'P1']","BC04,BC05,BC07,CD07,F5,MS3494,MS3513,MS3523,MS3620,P1",4,8,3,1,20260518T174109,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T174109,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T174109/analysis,0.034296,0.044391,0.839921
5:2,25,10,tts,20260515,20261515,"['BC04', 'BC05', 'BC07', 'CD07', 'F5', 'MS3494', 'MS3513', 'MS3523', 'MS3620', 'P1']","BC04,BC05,BC07,CD07,F5,MS3494,MS3513,MS3523,MS3620,P1",4,8,4,1,20260518T180109,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T180109,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T180109/analysis,0.041875,0.049249,0.802974
5:2,25,10,mts,20260515,20261515,"['BC04', 'BC05', 'BC07', 'CD07', 'F5', 'MS3494', 'MS3513', 'MS3523', 'MS3620', 'P1']","BC04,BC05,BC07,CD07,F5,MS3494,MS3513,MS3523,MS3620,P1",4,8,4,1,20260518T181711,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T181711,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T181711/analysis,0.037986,0.047021,0.820395
5:2,25,10,pmts,20260515,20261515,"['BC04', 'BC05', 'BC07', 'CD07', 'F5', 'MS3494', 'MS3513', 'MS3523', 'MS3620', 'P1']","BC04,BC05,BC07,CD07,F5,MS3494,MS3513,MS3523,MS3620,P1",4,8,4,1,20260518T183735,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T183735,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T183735/analysis,0.040717,0.052276,0.778004
5:2,25,10,orig,20260516,20261516,"['BC02', 'BC03', 'BC04', 'BC06', 'C1', 'C2', 'CD01', 'MS3482', 'MS3501', 'MS3620']","BC02,BC03,BC04,BC06,C1,C2,CD01,MS3482,MS3501,MS3620",4,8,3,1,20260518T185328,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T185328,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T185328/analysis,0.080025,0.106797,0.424093
5:2,25,10,tts,20260516,20261516,"['BC02', 'BC03', 'BC04', 'BC06', 'C1', 'C2', 'CD01', 'MS3482', 'MS3501', 'MS3620']","BC02,BC03,BC04,BC06,C1,C2,CD01,MS3482,MS3501,MS3620",4,8,4,1,20260518T191304,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T191304,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T191304/analysis,0.091066,0.118051,0.296317
5:2,25,10,mts,20260516,20261516,"['BC02', 'BC03', 'BC04', 'BC06', 'C1', 'C2', 'CD01', 'MS3482', 'MS3501', 'MS3620']","BC02,BC03,BC04,BC06,C1,C2,CD01,MS3482,MS3501,MS3620",4,8,4,1,20260518T192854,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T192854,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T192854/analysis,0.079987,0.108179,0.409087
5:2,25,10,pmts,20260516,20261516,"['BC02', 'BC03', 'BC04', 'BC06', 'C1', 'C2', 'CD01', 'MS3482', 'MS3501', 'MS3620']","BC02,BC03,BC04,BC06,C1,C2,CD01,MS3482,MS3501,MS3620",4,8,4,1,20260518T194926,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T194926,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T194926/analysis,0.080868,0.093104,0.562301
5:2,25,10,orig,20260517,20261517,"['BC03', 'BC04', 'BC05', 'BC07', 'F3', 'MS3482', 'MS3494', 'MS3523', 'MS3614', 'MS3627']","BC03,BC04,BC05,BC07,F3,MS3482,MS3494,MS3523,MS3614,MS3627",4,8,3,1,20260518T200517,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T200517,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T200517/analysis,0.050024,0.072602,0.720621
5:2,25,10,tts,20260517,20261517,"['BC03', 'BC04', 'BC05', 'BC07', 'F3', 'MS3482', 'MS3494', 'MS3523', 'MS3614', 'MS3627']","BC03,BC04,BC05,BC07,F3,MS3482,MS3494,MS3523,MS3614,MS3627",4,8,4,1,20260518T202436,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T202436,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T202436/analysis,0.064355,0.082805,0.636579
5:2,25,10,mts,20260517,20261517,"['BC03', 'BC04', 'BC05', 'BC07', 'F3', 'MS3482', 'MS3494', 'MS3523', 'MS3614', 'MS3627']","BC03,BC04,BC05,BC07,F3,MS3482,MS3494,MS3523,MS3614,MS3627",4,8,4,1,20260518T204030,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T204030,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T204030/analysis,0.049673,0.072478,0.721574
5:2,25,10,pmts,20260517,20261517,"['BC03', 'BC04', 'BC05', 'BC07', 'F3', 'MS3482', 'MS3494', 'MS3523', 'MS3614', 'MS3627']","BC03,BC04,BC05,BC07,F3,MS3482,MS3494,MS3523,MS3614,MS3627",4,8,4,1,20260518T210000,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T210000,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T210000/analysis,0.061308,0.07773,0.679758
5:2,25,10,orig,20260518,20261518,"['BC04', 'BC08', 'CD01', 'CD07', 'F3', 'MS3482', 'MS3494', 'MS3513', 'MS3603', 'P10']","BC04,BC08,CD01,CD07,F3,MS3482,MS3494,MS3513,MS3603,P10",4,8,3,1,20260518T211648,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T211648,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T211648/analysis,0.06909,0.094066,0.570402
5:2,25,10,tts,20260518,20261518,"['BC04', 'BC08', 'CD01', 'CD07', 'F3', 'MS3482', 'MS3494', 'MS3513', 'MS3603', 'P10']","BC04,BC08,CD01,CD07,F3,MS3482,MS3494,MS3513,MS3603,P10",4,8,4,1,20260518T213707,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T213707,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T213707/analysis,0.065883,0.090877,0.599043
5:2,25,10,mts,20260518,20261518,"['BC04', 'BC08', 'CD01', 'CD07', 'F3', 'MS3482', 'MS3494', 'MS3513', 'MS3603', 'P10']","BC04,BC08,CD01,CD07,F3,MS3482,MS3494,MS3513,MS3603,P10",4,8,4,1,20260518T215315,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T215315,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T215315/analysis,0.066354,0.090257,0.604489
5:2,25,10,pmts,20260518,20261518,"['BC04', 'BC08', 'CD01', 'CD07', 'F3', 'MS3482', 'MS3494', 'MS3513', 'MS3603', 'P10']","BC04,BC08,CD01,CD07,F3,MS3482,MS3494,MS3513,MS3603,P10",4,8,4,1,20260518T221245,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T221245,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T221245/analysis,0.055768,0.075391,0.724046
5:2,25,10,orig,20260519,20261519,"['BC04', 'BC06', 'C1', 'CD03', 'CD07', 'F4', 'MS3488', 'MS3614', 'MS3620', 'P11']","BC04,BC06,C1,CD03,CD07,F4,MS3488,MS3614,MS3620,P11",4,8,3,1,20260518T222916,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T222916,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T222916/analysis,0.046301,0.056863,0.724639
5:2,25,10,tts,20260519,20261519,"['BC04', 'BC06', 'C1', 'CD03', 'CD07', 'F4', 'MS3488', 'MS3614', 'MS3620', 'P11']","BC04,BC06,C1,CD03,CD07,F4,MS3488,MS3614,MS3620,P11",4,8,4,1,20260518T224857,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T224857,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T224857/analysis,0.045873,0.057287,0.720512
5:2,25,10,mts,20260519,20261519,"['BC04', 'BC06', 'C1', 'CD03', 'CD07', 'F4', 'MS3488', 'MS3614', 'MS3620', 'P11']","BC04,BC06,C1,CD03,CD07,F4,MS3488,MS3614,MS3620,P11",4,8,4,1,20260518T230429,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T230429,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T230429/analysis,0.045547,0.055677,0.736008
