strategy,sensor_ratio,n_seeds,mae_mean,mae_std,mae_median,rmse_mean,rmse_std,r2_mean,r2_std
mts,1:6,5,0.07589019999999999,0.003213779233239273,0.074905,0.0984776,0.0053706906297049,0.37704119999999997,0.06940726342220964
mts,2:5,5,0.0586688,0.0033706872533654023,0.059844,0.078886,0.003472901668633881,0.5817194,0.03345759150088363
mts,3:4,5,0.054676999999999996,0.005655585027209829,0.051753,0.0717252,0.0078078642764843175,0.6474354,0.04593288206328884
mts,4:3,5,0.049241999999999994,0.008205521653130895,0.047352,0.0642564,0.009731433719653028,0.702349,0.060329154467802716
mts,5:2,5,0.0559094,0.015207503261219444,0.049673,0.0747224,0.022341889066057063,0.6583106,0.14235144108381906
mts,6:1,5,0.0457982,0.017830075068826823,0.04273,0.058300399999999995,0.020121130202848943,0.7084986,0.16976109616823287
orig,1:6,5,0.0660338,0.007280490131852387,0.064195,0.0871274,0.008249287353462722,0.5095818,0.0945399266244691
orig,2:5,5,0.05759499999999999,0.004776836107718162,0.05756,0.0776794,0.005578812153137976,0.5911284,0.07031556374686902
orig,3:4,5,0.054571999999999996,0.004715649732539516,0.055244,0.0711884,0.0056890226084978755,0.65141,0.04068539813249959
orig,4:3,5,0.049386200000000005,0.0053396031463021675,0.04927,0.0652348,0.007914645245366338,0.6931976000000001,0.04935034434165582
orig,5:2,5,0.055947199999999996,0.016427912702470755,0.050024,0.0749438,0.023005033478784596,0.6559351999999999,0.14409855895240592
orig,6:1,5,0.046389400000000004,0.017700537546639653,0.043037,0.0597596,0.020444820797453814,0.6960286,0.1745675214380957
pmts,1:6,5,0.06476119999999999,0.006490780458465685,0.064466,0.0844906,0.006490940566666745,0.5408048,0.06396944773686891
pmts,2:5,5,0.0606012,0.0029458707643072175,0.060866,0.07954399999999999,0.004124153197930455,0.573062,0.0532805645953569
pmts,3:4,5,0.054610000000000006,0.005099524801390812,0.05394,0.0714418,0.00829916601593196,0.650917,0.046217709147035844
pmts,4:3,5,0.0507676,0.005729291600189328,0.05085,0.0671038,0.007223690259140407,0.6880816,0.04128334278422716
pmts,5:2,5,0.056810000000000006,0.014067899786393133,0.055768,0.0711412,0.014791559152435553,0.6930856000000001,0.0724555621345939
pmts,6:1,5,0.0456042,0.016393383389648398,0.039056,0.057829,0.017871913764339848,0.7214858,0.14585938750783234
tts,1:6,5,0.0893532,0.028968460445111678,0.08536,0.118304,0.03416234562789856,0.026770399999999982,0.5911299301593854
tts,2:5,5,0.06836899999999999,0.008557322758900704,0.064106,0.09167639999999999,0.01130118417866022,0.4269068,0.15029186466658798
tts,3:4,5,0.0693836,0.00711255792524743,0.06894,0.089978,0.012108844106684996,0.4189446,0.22488968515927985
tts,4:3,5,0.0529042,0.0077797653023725585,0.052574,0.0703246,0.01197731099370806,0.6417912,0.09008365588806881
tts,5:2,5,0.0618104,0.01749498261330945,0.064355,0.0796538,0.024637211095414193,0.611085,0.1724352077007477
tts,6:1,5,0.0571284,0.013651383880032088,0.054953,0.0715426,0.016579175378769597,0.5723537999999999,0.17366952872671704
