strategy,sensor_ratio,n_seeds,mae_mean,mae_std,mae_median,rmse_mean,rmse_std,r2_mean,r2_std
mts,1:6,5,0.0758901999999999,0.0032137792332392,0.074905,0.0984776,0.0053706906297049,0.3770411999999999,0.0694072634222096
mts,2:5,5,0.0586688,0.0033706872533654,0.059844,0.078886,0.0034729016686338,0.5817194,0.0334575915008836
mts,3:4,5,0.0546769999999999,0.0056555850272098,0.051753,0.0717252,0.0078078642764843,0.6474354,0.0459328820632888
mts,4:3,5,0.0492419999999999,0.0082055216531308,0.047352,0.0642564,0.009731433719653,0.702349,0.0603291544678027
mts,5:2,5,0.0559094,0.0152075032612194,0.049673,0.0747224,0.022341889066057,0.6583106,0.142351441083819
mts,6:1,5,0.0457982,0.0178300750688268,0.04273,0.0583003999999999,0.0201211302028489,0.7084986,0.1697610961682328
orig,1:6,5,0.0660338,0.0072804901318523,0.064195,0.0871274,0.0082492873534627,0.5095818,0.0945399266244691
orig,2:5,5,0.0575949999999999,0.0047768361077181,0.05756,0.0776794,0.0055788121531379,0.5911284,0.070315563746869
orig,3:4,5,0.0545719999999999,0.0047156497325395,0.055244,0.0711884,0.0056890226084978,0.65141,0.0406853981324995
orig,4:3,5,0.0493862,0.0053396031463021,0.04927,0.0652348,0.0079146452453663,0.6931976000000001,0.0493503443416558
orig,5:2,5,0.0559471999999999,0.0164279127024707,0.050024,0.0749438,0.0230050334787845,0.6559351999999999,0.1440985589524059
orig,6:1,5,0.0463894,0.0177005375466396,0.043037,0.0597596,0.0204448207974538,0.6960286,0.1745675214380957
pmts,1:6,5,0.0647611999999999,0.0064907804584656,0.064466,0.0844906,0.0064909405666667,0.5408048,0.0639694477368689
pmts,2:5,5,0.0606012,0.0029458707643072,0.060866,0.0795439999999999,0.0041241531979304,0.573062,0.0532805645953569
pmts,3:4,5,0.05461,0.0050995248013908,0.05394,0.0714418,0.0082991660159319,0.650917,0.0462177091470358
pmts,4:3,5,0.0507676,0.0057292916001893,0.05085,0.0671038,0.0072236902591404,0.6880816,0.0412833427842271
pmts,5:2,5,0.05681,0.0140678997863931,0.055768,0.0711412,0.0147915591524355,0.6930856000000001,0.0724555621345939
pmts,6:1,5,0.0456042,0.0163933833896483,0.039056,0.057829,0.0178719137643398,0.7214858,0.1458593875078323
tts,1:6,5,0.0893532,0.0289684604451116,0.08536,0.118304,0.0341623456278985,0.0267703999999999,0.5911299301593854
tts,2:5,5,0.0683689999999999,0.0085573227589007,0.064106,0.0916763999999999,0.0113011841786602,0.4269068,0.1502918646665879
tts,3:4,5,0.0693836,0.0071125579252474,0.06894,0.089978,0.0121088441066849,0.4189446,0.2248896851592798
tts,4:3,5,0.0529042,0.0077797653023725,0.052574,0.0703246,0.011977310993708,0.6417912,0.0900836558880688
tts,5:2,5,0.0618104,0.0174949826133094,0.064355,0.0796538,0.0246372110954141,0.611085,0.1724352077007477
tts,6:1,5,0.0571284,0.013651383880032,0.054953,0.0715426,0.0165791753787695,0.5723537999999999,0.173669528726717
pmts3,1:6,5,0.0781676,0.014595604373920249,0.072169,0.0955014,0.011917902023426772,0.40654520000000005,0.15100319003968093
pmts3,2:5,5,0.059390200000000004,0.004658033078457043,0.058863,0.078815,0.006905541919357236,0.581597,0.06500056952673568
pmts3,3:4,5,0.054344,0.003148900887611422,0.053671,0.0722222,0.005261998836943998,0.6426722,0.0216886701242838
pmts3,4:3,5,0.0504876,0.004719680904468014,0.050974,0.06664,0.006102501323228044,0.6879814,0.033455303768460974
pmts3,5:2,5,0.0579402,0.010830082832554884,0.056394,0.074397,0.012901845340880506,0.6772432,0.07013975686698665
pmts3,6:1,5,0.042019600000000004,0.007961320207101332,0.042574,0.054583400000000004,0.010267089920712683,0.792528,0.021860098709749677
