strategy,sensor_ratio,n_obs,seed,mae,rmse,r2,run_path
orig,1:6,5,20260515,0.061473,0.080603,0.589293,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T181328/analysis
tts,1:6,5,20260515,0.059932,0.084214,0.551673,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T183348/analysis
mts,1:6,5,20260515,0.074677,0.090947,0.477118,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T184837/analysis
pmts,1:6,5,20260515,0.072523,0.089786,0.490387,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T190850/analysis
orig,1:6,5,20260516,0.0776,0.100437,0.358618,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T192641/analysis
tts,1:6,5,20260516,0.08536,0.118782,0.102918,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T194655/analysis
mts,1:6,5,20260516,0.080221,0.107493,0.265325,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T200340/analysis
pmts,1:6,5,20260516,0.064466,0.087892,0.508828,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T202536/analysis
orig,1:6,5,20260517,0.070296,0.093088,0.437449,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T204316/analysis
tts,1:6,5,20260517,0.142761,0.179369,-1.088689,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T210446/analysis
mts,1:6,5,20260517,0.074905,0.09634,0.39746,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T212303/analysis
pmts,1:6,5,20260517,0.069848,0.088731,0.488872,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T214329/analysis
orig,1:6,5,20260518,0.056605,0.079379,0.586852,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T220101/analysis
tts,1:6,5,20260518,0.06791,0.087737,0.495273,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T222144/analysis
mts,1:6,5,20260518,0.071071,0.099656,0.348824,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T223839/analysis
pmts,1:6,5,20260518,0.053707,0.072132,0.658846,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T225858/analysis
orig,1:6,5,20260519,0.064195,0.08213,0.575697,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T231658/analysis
tts,1:6,5,20260519,0.090803,0.121418,0.072677,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T233729/analysis
mts,1:6,5,20260519,0.078577,0.097952,0.396479,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260515T235323/analysis
pmts,1:6,5,20260519,0.063262,0.083912,0.557091,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T001252/analysis
orig,2:5,10,20260515,0.055684,0.079595,0.565969,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T002758/analysis
tts,2:5,10,20260515,0.062972,0.089304,0.453633,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T004729/analysis
mts,2:5,10,20260515,0.056031,0.079898,0.562658,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T010300/analysis
