ratio_label,observed_count,holdout_count,strategy,seed,holdout_seed,holdout_stations,holdout_stations_str,window_hours,t_len,num_train_target,pmts_update_freq,file_time,checkpoint_dir,analysis_dir,overall_mae,overall_rmse,overall_r2
1:6,5,30,pmts,20260515,20260515,"['BC02', 'BC03', 'BC05', 'BC07', 'BC08', 'C2', 'CD01', 'CD03', 'CD07', 'F3', 'F5', 'MS3482', 'MS3488', 'MS3494', 'MS3501', 'MS3513', 'MS3523', 'MS3527', 'MS3533', 'MS3576', 'MS3603', 'MS3614', 'MS3620', 'MS3627', 'MSBJ', 'MSNQRW', 'P1', 'P10', 'P11', 'P2']","BC02,BC03,BC05,BC07,BC08,C2,CD01,CD03,CD07,F3,F5,MS3482,MS3488,MS3494,MS3501,MS3513,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",4,8,4,3,20260519T103324,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T103324,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T103324/analysis,0.066445,0.0835,0.559247
1:6,5,30,pmts,20260516,20260516,"['BC02', 'BC05', 'BC06', 'BC07', 'BC08', 'C1', 'C2', 'CD01', 'CD03', 'CD07', 'F3', 'F4', 'F5', 'MS3482', 'MS3494', 'MS3501', 'MS3513', 'MS3518', 'MS3523', 'MS3527', 'MS3533', 'MS3576', 'MS3603', 'MS3614', 'MS3620', 'MS3627', 'MSNQRW', 'P10', 'P11', 'P2']","BC02,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3482,MS3494,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSNQRW,P10,P11,P2",4,8,4,3,20260519T104909,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T104909,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T104909/analysis,0.093842,0.10746,0.265786
1:6,5,30,pmts,20260517,20260517,"['BC02', 'BC03', 'BC04', 'BC05', 'BC06', 'BC07', 'C2', 'CD01', 'CD07', 'F3', 'F5', 'MS3482', 'MS3488', 'MS3494', 'MS3501', 'MS3513', 'MS3518', 'MS3523', 'MS3527', 'MS3533', 'MS3576', 'MS3603', 'MS3614', 'MS3620', 'MS3627', 'MSBJ', 'MSNQRW', 'P1', 'P11', 'P2']","BC02,BC03,BC04,BC05,BC06,BC07,C2,CD01,CD07,F3,F5,MS3482,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P11,P2",4,8,4,3,20260519T110512,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T110512,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T110512/analysis,0.097135,0.111874,0.187479
1:6,5,30,pmts,20260518,20260518,"['BC02', 'BC03', 'BC04', 'BC05', 'BC06', 'BC08', 'C1', 'C2', 'CD01', 'CD03', 'CD07', 'F4', 'MS3482', 'MS3488', 'MS3494', 'MS3501', 'MS3513', 'MS3518', 'MS3523', 'MS3527', 'MS3533', 'MS3576', 'MS3614', 'MS3620', 'MSBJ', 'MSNQRW', 'P1', 'P10', 'P11', 'P2']","BC02,BC03,BC04,BC05,BC06,BC08,C1,C2,CD01,CD03,CD07,F4,MS3482,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MS3620,MSBJ,MSNQRW,P1,P10,P11,P2",4,8,4,3,20260519T112003,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T112003,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T112003/analysis,0.061247,0.084039,0.536928
1:6,5,30,pmts,20260519,20260519,"['BC02', 'BC03', 'BC06', 'BC07', 'BC08', 'C1', 'C2', 'CD01', 'CD03', 'CD07', 'F3', 'F5', 'MS3482', 'MS3488', 'MS3494', 'MS3501', 'MS3513', 'MS3523', 'MS3527', 'MS3533', 'MS3603', 'MS3614', 'MS3620', 'MS3627', 'MSBJ', 'MSNQRW', 'P1', 'P10', 'P11', 'P2']","BC02,BC03,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F5,MS3482,MS3488,MS3494,MS3501,MS3513,MS3523,MS3527,MS3533,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",4,8,4,3,20260519T113500,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T113500,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T113500/analysis,0.072169,0.090634,0.483286
2:5,10,25,pmts,20260515,20261515,"['BC02', 'BC03', 'BC04', 'BC05', 'BC06', 'BC07', 'C1', 'C2', 'CD07', 'F3', 'F4', 'F5', 'MS3482', 'MS3488', 'MS3494', 'MS3513', 'MS3523', 'MS3576', 'MS3603', 'MS3620', 'MSBJ', 'MSNQRW', 'P1', 'P11', 'P2']","BC02,BC03,BC04,BC05,BC06,BC07,C1,C2,CD07,F3,F4,F5,MS3482,MS3488,MS3494,MS3513,MS3523,MS3576,MS3603,MS3620,MSBJ,MSNQRW,P1,P11,P2",4,8,4,3,20260519T115030,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T115030,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T115030/analysis,0.058863,0.078723,0.57543
2:5,10,25,pmts,20260516,20261516,"['BC02', 'BC03', 'BC04', 'BC06', 'BC07', 'BC08', 'C1', 'C2', 'CD01', 'CD07', 'F4', 'MS3482', 'MS3488', 'MS3494', 'MS3501', 'MS3513', 'MS3523', 'MS3527', 'MS3614', 'MS3620', 'MS3627', 'P1', 'P10', 'P11', 'P2']","BC02,BC03,BC04,BC06,BC07,BC08,C1,C2,CD01,CD07,F4,MS3482,MS3488,MS3494,MS3501,MS3513,MS3523,MS3527,MS3614,MS3620,MS3627,P1,P10,P11,P2",4,8,4,3,20260519T120636,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T120636,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T120636/analysis,0.059456,0.07918,0.618539
2:5,10,25,pmts,20260517,20261517,"['BC03', 'BC04', 'BC05', 'BC06', 'BC07', 'CD01', 'CD03', 'F3', 'F4', 'F5', 'MS3482', 'MS3488', 'MS3494', 'MS3501', 'MS3513', 'MS3518', 'MS3523', 'MS3527', 'MS3533', 'MS3576', 'MS3614', 'MS3627', 'MSBJ', 'MSNQRW', 'P1']","BC03,BC04,BC05,BC06,BC07,CD01,CD03,F3,F4,F5,MS3482,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MS3627,MSBJ,MSNQRW,P1",4,8,4,3,20260519T122116,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T122116,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T122116/analysis,0.055704,0.075367,0.617635
2:5,10,25,pmts,20260518,20261518,"['BC03', 'BC04', 'BC05', 'BC06', 'BC07', 'BC08', 'C1', 'C2', 'CD01', 'CD07', 'F3', 'F4', 'MS3482', 'MS3494', 'MS3501', 'MS3513', 'MS3518', 'MS3527', 'MS3576', 'MS3603', 'MS3614', 'MS3620', 'MSBJ', 'P10', 'P2']","BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD07,F3,F4,MS3482,MS3494,MS3501,MS3513,MS3518,MS3527,MS3576,MS3603,MS3614,MS3620,MSBJ,P10,P2",4,8,4,3,20260519T123605,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T123605,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T123605/analysis,0.068022,0.090923,0.458213
2:5,10,25,pmts,20260519,20261519,"['BC03', 'BC04', 'BC05', 'BC06', 'BC07', 'BC08', 'C1', 'C2', 'CD01', 'CD03', 'CD07', 'F4', 'MS3488', 'MS3494', 'MS3501', 'MS3523', 'MS3533', 'MS3603', 'MS3614', 'MS3620', 'MSBJ', 'MSNQRW', 'P1', 'P10', 'P11']","BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F4,MS3488,MS3494,MS3501,MS3523,MS3533,MS3603,MS3614,MS3620,MSBJ,MSNQRW,P1,P10,P11",4,8,4,3,20260519T125037,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T125037,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy_pmts3/SM/hierarchical_SM_20260519T125037/analysis,0.054906,0.069882,0.638168
