station_id,target_station_index,original_node_index,sample_count,MAE,RMSE,R2,analysis_dir,holdout_ratio,seed,holdout_seed
CD01,1,32,18497,0.136589,0.143172,-0.185426,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T151216/analysis,0.1,1000,1000
P11,3,34,18559,0.065687,0.077976,0.602087,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T151216/analysis,0.1,1000,1000
BC03,0,31,18459,0.045622,0.064773,0.717326,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T151216/analysis,0.1,1000,1000
MS3513,2,33,18366,0.044715,0.051193,0.727626,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T151216/analysis,0.1,1000,1000
P2,3,34,13389,0.060769,0.066846,0.413423,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T152746/analysis,0.1,1001,1001
BC07,0,31,1891,0.059328,0.060889,-10.496562,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T152746/analysis,0.1,1001,1001
F4,1,32,18552,0.050899,0.057585,0.714692,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T152746/analysis,0.1,1001,1001
MS3527,2,33,14599,0.033701,0.064839,0.233338,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T152746/analysis,0.1,1001,1001
MS3501,1,32,1852,0.08545,0.090437,-39.830441,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T154409/analysis,0.1,1002,1002
BC04,0,31,18063,0.077741,0.086699,0.580983,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T154409/analysis,0.1,1002,1002
MS3603,3,34,18624,0.040076,0.046614,0.675875,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T154409/analysis,0.1,1002,1002
MS3576,2,33,14807,0.033157,0.037697,0.48854,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T154409/analysis,0.1,1002,1002
MS3576,2,33,14807,0.095514,0.099244,-2.545005,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T155945/analysis,0.1,1003,1003
MS3614,3,34,18624,0.039276,0.051488,0.406467,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T155945/analysis,0.1,1003,1003
MS3518,1,32,18601,0.030086,0.03742,0.905148,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T155945/analysis,0.1,1003,1003
MS3494,0,31,18558,0.025754,0.030429,0.957332,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T155945/analysis,0.1,1003,1003
BC04,0,31,18063,0.061661,0.072209,0.70934,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T161552/analysis,0.1,1004,1004
MS3533,1,32,18606,0.058786,0.073135,0.68153,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T161552/analysis,0.1,1004,1004
P11,3,34,18559,0.057074,0.068257,0.695094,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T161552/analysis,0.1,1004,1004
MS3627,2,33,18625,0.018162,0.02793,0.862952,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T161552/analysis,0.1,1004,1004
BC04,0,31,18063,0.045177,0.055353,0.829201,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T163207/analysis,0.1,1005,1005
MS3523,2,33,18600,0.033959,0.041796,0.857558,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T163207/analysis,0.1,1005,1005
MS3513,1,32,18366,0.024258,0.035351,0.870117,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T163207/analysis,0.1,1005,1005
MS3627,3,34,18625,0.022527,0.026392,0.877634,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T163207/analysis,0.1,1005,1005
MS3576,2,33,14807,0.081762,0.086423,-1.68826,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T164830/analysis,0.1,1006,1006
BC08,0,31,18465,0.073982,0.083456,-0.825642,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T164830/analysis,0.1,1006,1006
CD01,1,32,18497,0.05332,0.076168,0.664491,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T164830/analysis,0.1,1006,1006
P2,3,34,13389,0.032335,0.036481,0.825295,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T164830/analysis,0.1,1006,1006
MS3488,2,33,16699,0.100874,0.10639,-0.216293,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T170454/analysis,0.1,1007,1007
F3,1,32,18565,0.066806,0.081,0.721153,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T170454/analysis,0.1,1007,1007
MS3576,3,34,14807,0.055007,0.060685,-0.325482,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T170454/analysis,0.1,1007,1007
BC05,0,31,18459,0.035043,0.045108,0.617512,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T170454/analysis,0.1,1007,1007
BC08,0,31,18465,0.091116,0.10038,-1.641197,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T172116/analysis,0.1,1008,1008
F4,1,32,18552,0.043417,0.051343,0.773197,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T172116/analysis,0.1,1008,1008
MS3603,2,33,18624,0.034398,0.045395,0.692595,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T172116/analysis,0.1,1008,1008
MSBJ,3,34,18621,0.029715,0.041958,0.662219,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T172116/analysis,0.1,1008,1008
MS3488,2,33,16699,0.107058,0.110311,-0.307589,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T173658/analysis,0.1,1009,1009
C2,0,31,12996,0.066891,0.074817,0.512135,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T173658/analysis,0.1,1009,1009
MS3518,3,34,18601,0.032304,0.036954,0.907495,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T173658/analysis,0.1,1009,1009
F5,1,32,18552,0.023155,0.030003,0.924707,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T173658/analysis,0.1,1009,1009
MS3627,3,34,18625,0.103517,0.10962,-1.111117,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T175231/analysis,0.1,1010,1010
BC04,1,32,18063,0.100688,0.110321,0.321553,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T175231/analysis,0.1,1010,1010
BC02,0,31,10543,0.068677,0.088951,0.413718,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T175231/analysis,0.1,1010,1010
F4,2,33,18552,0.041384,0.057144,0.719046,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T175231/analysis,0.1,1010,1010
CD01,2,30,18497,0.122315,0.1402,-0.136728,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260527T180810/analysis,0.2,1000,2000
