station_id,mae_mean,mae_std,rmse_mean,r2_mean,eval_count,sample_count_total,lon,lat
MS3482,0.14541441379310346,0.022062712644895493,0.16159817241379312,-0.1370391724137931,29,326859,91.7,31.89
BC02,0.12726791666666668,0.03975689354490086,0.14406979166666667,-0.6343785833333333,24,253032,92.36833333333334,31.07333333333333
CD03,0.10653428,0.04219592689122969,0.11094272,-67.31238551999999,25,8125,92.34166666666668,31.66333333333333
MS3488,0.09905315999999999,0.015814304900100204,0.10816068,-0.28951892,25,417475,91.705,31.843333333333334
CD01,0.0966801212121212,0.029148052845299092,0.11131206060606061,0.23774621212121214,33,610401,92.45833333333331,31.71333333333333
BC08,0.07674468965517241,0.021491892790577446,0.08677910344827586,-1.0876574827586207,29,535485,92.04,31.331666666666667
BC04,0.06998786842105263,0.0185101389516461,0.08146034210526315,0.6062842894736843,38,686394,92.25,31.12833333333333
MS3576,0.06681254838709677,0.02139173074319251,0.07330751612903226,-1.0949214516129033,31,459017,91.97,31.41
MS3527,0.06375888888888889,0.018966867979419214,0.08702981481481481,-0.42259266666666667,27,394173,91.74,31.615
MS3501,0.06113792,0.020280490912697357,0.06638511999999999,-22.95455524,25,46300,91.78333333333332,31.75333333333333
P11,0.06060752,0.010797740871435407,0.0699892,0.6711844,25,463975,91.795,31.816666666666663
F3,0.05852073076923077,0.00882593767282635,0.07972807692307692,0.7249650769230769,26,482690,91.80166666666666,31.716666666666665
BC03,0.05633927777777778,0.019358350205609116,0.07025872222222222,0.6417135555555555,18,332262,92.30833333333334,31.106666666666666
BC05,0.0535844375,0.01742233374600711,0.06693190625,0.06865934375,32,590688,92.19666666666669,31.171666666666667
C2,0.05264688888888888,0.01816547225737149,0.05955766666666667,0.6660986666666666,27,350892,91.80833333333334,31.69
P1,0.052579,0.011987812926547726,0.06119572727272727,-0.011236909090909094,22,407990,91.73,31.781666666666663
MS3494,0.050968708333333335,0.0156935639244361,0.06247604166666667,0.804911,24,445392,91.75,31.805
P2,0.049658764705882354,0.019262468182671022,0.05420111764705882,0.5681909117647059,34,455226,91.725,31.74333333333333
MS3620,0.04713096551724138,0.02484213442129946,0.05372382758620689,0.32390731034482756,29,540067,91.725,31.13
MS3627,0.0471174,0.02563661024134561,0.0549904,0.35961888000000003,25,465625,91.68833333333332,31.08833333333333
P10,0.04504451851851852,0.011485208254266644,0.05574585185185185,0.8199874814814815,27,501066,91.845,31.808333333333334
MS3533,0.04486840909090909,0.009800825532086038,0.05591395454545455,0.8060771363636363,22,409332,91.79333333333334,31.586666666666662
CD07,0.04432932,0.00807300630042283,0.05154712,0.78958572,25,462525,92.13333333333334,31.495
MSBJ,0.04307648387096775,0.015522762829408445,0.05277103225806452,0.42023129032258066,31,577251,91.89,31.366666666666667
BC06,0.04204748387096774,0.014862586483899693,0.04918703225806452,0.06418058064516129,31,455018,92.165,31.231666666666666
F5,0.042038227272727276,0.01574725797728069,0.04987186363636364,0.7726992272727273,22,408144,91.78666666666666,31.69333333333333
MS3614,0.04177411764705882,0.015990311543508683,0.05193594117647059,0.33836429411764707,34,633216,91.76,31.175
F4,0.04023051724137931,0.011396973782609043,0.050478034482758616,0.7705363103448275,29,538008,91.77333333333333,31.69833333333333
MS3518,0.03712459375,0.014067103445477541,0.04395253125,0.8550569375,32,595232,91.795,31.661666666666665
MSNQRW,0.03603184,0.01410439647084081,0.0436386,0.68007944,25,465975,92.01666666666668,31.46333333333333
C1,0.03535913043478261,0.012238937113329391,0.04153217391304348,0.7361151739130435,23,426673,91.77,31.683333333333334
MS3523,0.03468588888888889,0.013194016202964984,0.04283537037037037,0.8373248518518518,27,502200,91.755,31.64
MS3603,0.03294207692307692,0.008980684944582243,0.04261034615384615,0.7143930000000001,26,484224,91.8,31.258333333333333
BC07,0.03199175675675676,0.018552366684013066,0.03648432432432432,-4.146724918918919,37,69967,92.11,31.275
MS3513,0.031420411764705884,0.009060596900257087,0.04060561764705882,0.8206100294117648,34,624444,91.84166666666668,31.67833333333333
